Actor,Tense,Mode,Kovol word,English
3p,remote past,,ɔsɛmind,to give to plural
1s,recent past,,ɔsigɔm,to give to plural
2s,recent past,,ɔsigɔŋ,to give to plural
3s,recent past,,ɔsige,to give to plural
1p,recent past,,ɔsigɔŋg,to give to plural
2p,recent past,,ɔsigima,to give to plural
3p,recent past,,ɔsigɔnd,to give to plural
1s,future,,ɔsinim,to give to plural
2s,future,imperative,ɔsi,to give to plural
3s,future,,ɔsiŋ,to give to plural
1p,future,,ɔsug,to give to plural
2p,future,imperative,ɔsas,to give to plural
3p,future,,ɔsis,to give to plural
2s,future,,ɔsiniŋ ig,to give to plural
2p,future,,ɔsiwa ig,to give to plural
1s,remote past,,pɛndɛβigɔm,to sell
2s,remote past,,pɛndɛβigɔŋ,to sell
3s,remote past,,pɛndɛβigɔt,to sell
1p,remote past,,pɛndɛβigomuŋg,to sell
2p,remote past,,pɛndɛβigomwa,to sell
3p,remote past,,pɛndɛβigɛmind,to sell
1s,recent past,,pɛndɛβigɔm,to sell
2s,recent past,,pɛndɛβigɔŋ,to sell
3s,recent past,,pɛndɛβige,to sell
1p,recent past,,pɛndɛβigɔŋg,to sell
2p,recent past,,pɛndɛβigima,to sell
3p,recent past,,pɛndɛβigɔnd,to sell
1s,future,,pɛndɛβiginim,to sell
2s,future,imperative,pɛndɛβigu,to sell
3s,future,,pɛndɛβigiŋ,to sell
1p,future,,pɛndɛβigug,to sell
2p,future,imperative,pɛndɛβigas,to sell
3p,future,,pɛndɛβigis,to sell
2s,future,,pɛndɛβiginiŋ ig,to sell
2p,future,,pɛndɛβigwa ig,to sell
,recent past,short,pɛndɛβigɔβ,to sell
1s,remote past,,putugulɔm,to mark as reserved
2s,remote past,,putugulɔŋ,to mark as reserved
3s,remote past,,putugulɔt,to mark as reserved
1p,remote past,,putugulomuŋg,to mark as reserved
2p,remote past,,putugulomwa,to mark as reserved
3p,remote past,,putugulɛmind,to mark as reserved
1s,recent past,,putugugam,to mark as reserved
2s,recent past,,putugugɔŋ,to mark as reserved
3s,recent past,,putuguga,to mark as reserved
1p,recent past,,putugaŋg,to mark as reserved
2p,recent past,,putugugama,to mark as reserved
3p,recent past,,putugugand,to mark as reserved
1s,future,,putugɛnim,to mark as reserved
2s,future,imperative,putugule,to mark as reserved
3s,future,,putugaŋ,to mark as reserved
1p,future,,putugolug,to mark as reserved
2p,future,imperative,putugulas,to mark as reserved
3p,future,,putugɛlis,to mark as reserved
2s,future,,putugɛniŋ ig,to mark as reserved
2p,future,,putuguwa ig,to mark as reserved
2s,future,,tɛniŋ ig,to throw
2p,future,,tɛlwa ig,to throw
1s,remote past,,tugulom,stretim
2s,remote past,,tuguloŋ,stretim
3s,remote past,,tugulot,stretim
1p,remote past,,tugulomuŋg,stretim
2p,remote past,,tugulomwa,stretim
3p,remote past,,tugulemind,stretim
1s,recent past,,tugugam,stretim
2s,recent past,,tugugoŋ,stretim
3s,recent past,,tuguga,stretim
1p,recent past,,tugaŋg,stretim
2p,recent past,,tuguguma,stretim
3p,recent past,,tugugand,stretim
1s,future,,tugɛnim,stretim
2s,future,,tugɛniŋ,stretim
3s,future,,tugaŋ,stretim
1p,future,,tugolug,stretim
2p,future,,tugula,stretim
3p,future,,tugɛlis,stretim
2s,future,imperative,tugule,stretim
2p,future,imperative,tugulas,stretim
